school_id,school,city,countystate_territory,university,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,pacific_islander_app,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
51828,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Davis,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,17.0,13.0,3.0,76.47,17.65
51830,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,0.0,25.71,0.0
51838,BANNING HIGH SCHOOL,Banning,Riverside,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,36.36,0.0
51840,ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,50.0,0.0
51845,MIDDLE COLLEGE HIGH SCHOOL,Stockton,San Joaquin,Berkeley,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,13.79,0.0
51851,ROSEVILLE HIGH SCHOOL,Roseville,Placer,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,31.0,0.0,0.0,0.0,0.0
51860,MIGUEL CONTRERAS LRNG COMPLEX,Los Angeles,Los Angeles,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
51862,ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,55.56,55.56
51864,PLACER HIGH SCHOOL,Auburn,Placer,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,12.0,3.0,0.0,25.0,0.0
51870,MILLS HIGH SCHOOL,Millbrae,San Mateo,Berkeley,0.0,0.0,0.0,0.0,0.0,10.0,111.0,6.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,137.0,10.0,6.0,7.3,4.38
51873,IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,11.11,0.0
51875,MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,Berkeley,0.0,0.0,0.0,0.0,0.0,31.0,225.0,19.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,263.0,31.0,19.0,11.79,7.22
51881,MAR VISTA HIGH SCHOOL,Imperial Beach,San Diego,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
51885,MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
51890,MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,Berkeley,0.0,0.0,0.0,0.0,0.0,6.0,51.0,3.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,58.0,8.0,132.0,17.0,11.0,12.88,8.33
51892,MODESTO HIGH SCHOOL,Modesto,Stanislaus,Berkeley,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,22.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,8.0,4.0,21.62,10.81
51895,NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0
51896,MIT ACADEMY,Vallejo,Solano,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
51899,ELSINORE HIGH SCHOOL,Wildomar,Riverside,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,23.0,0.0,0.0,0.0,0.0
51903,TWELVE BRIDGES HIGH SCHOOL,Lincoln,Placer,Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
