school_id,school,city,countystate_territory,african_american_adm,african_american_app,african_american_enr,american_indian_adm,american_indian_app,american_indian_enr,asian_adm,asian_app,asian_enr,domestic_unknown_adm,domestic_unknown_app,domestic_unknown_enr,hispanic_latinx_adm,hispanic_latinx_app,hispanic_latinx_enr,intl_adm,intl_app,intl_enr,pacific_islander_adm,pacific_islander_app,pacific_islander_enr,white_adm,white_app,white_enr,total_applied,total_accepted,total_enrolled,pct_accepted,pct_enrolled
50735,DELANO HIGH SCHOOL,Delano,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,7.0,57.14,20.0
50740,GRANT HIGH SCHOOL,Sacramento,Sacramento,6.0,7.0,4.0,0.0,0.0,0.0,13.0,16.0,6.0,0.0,0.0,0.0,29.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,51.0,22.0,85.0,36.67
50743,DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,inf,
50748,DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,8.0,13.0,3.0,0.0,0.0,0.0,275.0,326.0,159.0,25.0,26.0,13.0,20.0,31.0,5.0,6.0,7.0,3.0,0.0,0.0,0.0,9.0,15.0,4.0,418.0,343.0,187.0,82.06,44.74
50750,DINUBA HIGH SCHOOL,Dinuba,Tulare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,54.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,44.0,13.0,81.48,24.07
50755,DIXON HIGH SCHOOL,Dixon,Solano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,4.0,46.0,26.0,11.0,56.52,23.91
50765,DOS PALOS HIGH SCHOOL,Dos Palos,Merced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,5.0,81.82,45.45
50770,DOWNEY HIGH SCHOOL,Downey,Los Angeles,3.0,8.0,0.0,0.0,0.0,0.0,15.0,17.0,5.0,0.0,0.0,0.0,123.0,199.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,230.0,146.0,45.0,63.48,19.57
50771,WARREN HIGH SCHOOL,Downey,Los Angeles,8.0,12.0,3.0,0.0,0.0,0.0,10.0,12.0,6.0,0.0,0.0,0.0,121.0,172.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,202.0,142.0,52.0,70.3,25.74
50776,OXFORD ACADEMY,Cypress,Orange,0.0,0.0,0.0,0.0,0.0,0.0,101.0,133.0,52.0,4.0,0.0,0.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,161.0,120.0,52.0,74.53,32.3
50783,DUARTE HIGH SCHOOL,Duarte,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,0.0,17.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,38.0,24.0,7.0,63.16,18.42
50784,DUBLIN HIGH SCHOOL,Dublin,Alameda,8.0,13.0,3.0,0.0,0.0,0.0,371.0,446.0,194.0,30.0,31.0,14.0,8.0,15.0,5.0,20.0,21.0,13.0,0.0,0.0,0.0,25.0,42.0,12.0,568.0,462.0,241.0,81.34,42.43
50790,DURHAM HIGH SCHOOL,Durham,Butte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,8.0,0.0,160.0,0.0
50795,EAST NICOLAUS HIGH SCHOOL,Trowbridge,Sutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,4.0,0.0,66.67,0.0
50800,DESERT HIGH SCHOOL,Edwards,Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,50.0,0.0
50804,VALHALLA HIGH SCHOOL,El Cajon,San Diego,3.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,91.0,19.0,116.0,61.0,19.0,52.59,16.38
